tmdb_id,film_title,film_adult,film_runtime_min,film_genres,film_rating,film_vote_count,film_mpaa_rating,film_original_title,film_language_name,film_imdb_id,film_wikidata_id,film_countries,film_year,film_release_date,film_popularity,film_budget,film_revenue,film_studios,film_director,film_soundtrack_composer_raw,film_top_cast,film_keywords,film_ingested_at,match_method,soundtrack_type,notes,matched_at,release_group_id,release_group_mbid,album_title,rg_primary_type,rg_secondary_types,release_id,release_mbid,release_title,release_status,release_packaging,barcode,release_language,release_script,release_comment,album_us_release_date,album_us_release_year,album_us_release_month_min_observed,album_us_release_day_min_observed,us_date_has_missing_month,us_date_has_missing_day,us_any_event_missing_month,us_any_event_missing_day,rg_tags_text,release_tags_text,label_names,label_mbids,label_tags_text,rg_rating,rg_rating_count,release_meta_date_added,release_meta_info_url,release_meta_amazon_asin,release_meta_cover_art_presence,release_status_clean,keep_row,is_canonical_soundtrack,is_canonical_songtrack,canonical_rule,canonical_songtrack_rule,days_since_film_release,days_since_album_release,ambient_experimental,classical_orchestral,electronic,hip_hop_rnb,pop,rock,world_folk,film_is_action,film_is_adventure,film_is_animation,film_is_comedy,film_is_crime,film_is_documentary,film_is_drama,film_is_family,film_is_fantasy,film_is_history,film_is_horror,film_is_music,film_is_mystery,film_is_romance,film_is_science_fiction,film_is_tv_movie,film_is_thriller,film_is_war,film_is_western,vote_count_above_500,composer_primary_clean,award_year,oscar_score_nominee,oscar_score_winner,oscar_song_nominee,oscar_song_winner,globes_score_nominee,globes_score_winner,globes_song_nominee,globes_song_winner,critics_score_nominee,critics_score_winner,critics_song_nominee,critics_song_winner,bafta_score_nominee,bafta_score_winner,lfm_album_status,lfm_album_listeners,lfm_album_playcount,lfm_album_url,lfm_album_query_method,lfm_album_pulled_at,log_lfm_album_listeners,log_lfm_album_playcount
216015,Fifty Shades of Grey,False,125,"Drama, Romance, Thriller",5.875,12222,R,Fifty Shades of Grey,English,tt2322441,Q14566553,United States of America,2015,2015-02-11,18.4171,40000000,569651467,"Universal Pictures, Focus Features, Michael De Luca Productions, Trigger Street Productions",Sam Taylor-Johnson,"Danny Elfman, Ellie Goulding, The Weeknd","Dakota Johnson, Jamie Dornan, Jennifer Ehle, Eloise Mumford, Victor Rasuk","bad smell, based on novel or book, eroticism, perversion, spanking",2026-01-19 01:36:05.016 -0500,imdb_exact,score,,2026-01-25 02:45:25.371 -0500,1494030,fa7aa3a0-3de5-4273-bbb4-cfc13dbf9f1e,Fifty Shades of Grey: Original Motion Picture Score,Album,Soundtrack,1566447.0,dd34d90a-52ff-445c-8221-d03a6f876b24,Fifty Shades of Grey: Original Motion Picture Score,Official,Jewel Case,602547201720.0,English,Latin,,2015-02-17,2015.0,2.0,17.0,False,False,False,False,score,,Republic Records | Universal,1391bdc7-a22c-48a4-a5fb-e7b8ef6ce143 | e0ecd909-0477-485f-80dc-3c27ea4837ca,alejandra guzman | clean up | es 2003 | sólo exitos | thalía,,,2015-02-16 09:22:51.239 -0500,https://www.amazon.com/gp/product/B00S9303ZM,B00S9303ZM,present,Official,True,True,False,multi_album_score_title,,4007,4001.0,,,,,,,,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,True,Danny Elfman,2015,False,False,True,False,False,False,True,False,False,False,True,False,False,False,ok,27.0,420.0,https://www.last.fm/music/Danny+Elfman/Fifty+Shades+of+Grey:+Original+Motion+Picture+Score,text,2026-01-28 22:18:03.783559+00:00,3.295836866004329,6.040254711277414
150689,Cinderella,False,105,"Romance, Fantasy, Family, Drama",6.826,7294,PG,Cinderella,English,tt1661199,Q15046091,United Kingdom / United States of America,2015,2015-03-06,11.8041,95000000,543514353,"Walt Disney Pictures, Genre Films, Beagle Pug Films, Allison Shearmur Productions",Kenneth Branagh,Patrick Doyle,"Lily James, Cate Blanchett, Richard Madden, Stellan Skarsgård, Holliday Grainger","magic, kingdom, fairy tale, prince, royalty",2026-01-19 01:36:05.016 -0500,imdb_exact,unknown,,2026-01-25 02:45:25.371 -0500,1504629,412fdd65-c3f8-40fe-a420-8b438e048915,Cinderella,Album,Soundtrack,1579787.0,5da9400f-7f0c-45f3-8e78-fe98f17aa43e,Cinderella,Official,,,English,Latin,,2015-03-10,2015.0,3.0,10.0,False,False,False,False,classical | film score,film score,Walt Disney Records,1c50034a-5c92-41a4-95ad-0acb7ea4686f,score | soundtrack | soundtrack label | classical | teen pop | soundtrack frozen,,,2015-03-16 23:29:40.780 -0400,https://www.amazon.com/gp/product/B00THRE5TO,B00THRE5TO,present,Official,True,True,False,single_album_film,,3984,3980.0,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,True,False,False,False,False,False,True,Patrick Doyle,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,ok,524.0,16416.0,https://www.last.fm/music/Patrick+Doyle/Cinderella,text,2026-01-28 21:37:16.320393+00:00,6.261491684321042,9.706011747970496
281957,The Revenant,False,157,"Western, Drama, Adventure",7.54,18928,R,The Revenant,English,tt1663202,Q18002795,Canada / Hong Kong / Taiwan / United States of America,2015,2015-12-25,10.1655,135000000,532950503,"Monarchy Enterprises S.a.r.l., Regency Enterprises, Appian Way, CatchPlay, Anonymous Content, New Regency Pictures, Hong Kong Alpha Motion Pictures Co., M Productions, RatPac Entertainment",Alejandro González Iñárritu,"Ryuichi Sakamoto, Alva Noto","Leonardo DiCaprio, Tom Hardy, Domhnall Gleeson, Will Poulter, Forrest Goodluck","rape, based on novel or book, parent child relationship, winter, child murder",2026-01-19 01:36:05.016 -0500,imdb_exact,songs,,2026-01-25 02:45:25.371 -0500,1605141,5d5a40d3-8aab-41a8-8cfb-b97688a5c10c,The Revenant: Original Motion Picture Soundtrack,Album,Soundtrack,1708615.0,bfff43a0-cac1-460a-94b9-fb10f70806c1,The Revenant: Original Motion Picture Soundtrack,Official,,,English,Latin,,2015-12-25,2015.0,12.0,25.0,False,False,False,False,score | ambient | classical | soundtrack,score | soundtrack,Milan,41099e29-7301-4fa3-86a4-8d510157b275,burbank | california | clean up | score | soundtrack label | split me | us | soundtrack,,,2015-12-31 15:04:24.681 -0500,https://www.amazon.com/gp/product/B018THTR7M,B018THTR7M,present,Official,True,True,False,single_album_film,,3690,3690.0,True,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,Ryuichi Sakamoto,2015,False,False,False,False,True,False,False,False,True,False,False,False,True,True,ok,14.0,148.0,https://www.last.fm/music/%E5%9D%82%E6%9C%AC%E9%BE%8D%E4%B8%80/The+Revenant:+Original+Motion+Picture+Soundtrack,text,2026-01-28 21:42:42.448069+00:00,2.6390573296152584,4.997212273764115
140607,Star Wars: The Force Awakens,False,136,"Adventure, Action, Science Fiction",7.3,20206,PG-13,Star Wars: The Force Awakens,English,tt2488496,Q6074,United States of America,2015,2015-12-15,10.133,245000000,2068223624,"Lucasfilm Ltd., Bad Robot",J.J. Abrams,John Williams,"Harrison Ford, Mark Hamill, Carrie Fisher, Adam Driver, Daisy Ridley","android, spacecraft, space opera, absurd",2026-01-19 01:36:05.016 -0500,imdb_exact,songs,,2026-01-25 02:45:25.371 -0500,1563177,405fd3c5-0a45-456a-b853-6f734d3b57aa,Star Wars: The Force Awakens: Original Motion Picture Soundtrack,Album,Soundtrack,1654335.0,7f6687c0-daef-4a1a-aec5-b6edd1f3c7db,Star Wars: The Force Awakens: Original Motion Picture Soundtrack,Official,Digipak,50087323295.0,English,Latin,Digipak,2015-01-01,2015.0,,,True,True,True,True,soundtrack | film score | score | classical | film | original score | stage & screen,soundtrack | classical | film score | star wars,Walt Disney Records,1c50034a-5c92-41a4-95ad-0acb7ea4686f,score | soundtrack | soundtrack label | classical | teen pop | soundtrack frozen,93.0,3.0,2015-09-04 14:24:34.396 -0400,https://www.amazon.com/gp/product/B014V6JIQK,B014V6JIQK,present,Official,True,True,True,fallback_imdb_match,multi_album_soundtrack_title,3700,4048.0,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,John Williams,2015,True,False,False,False,False,False,False,False,False,False,False,False,True,False,ok,324.0,7629.0,https://www.last.fm/music/John+Williams/Star+Wars:+The+Force+Awakens:+Original+Motion+Picture+Soundtrack,text,2026-01-28 21:37:04.874695+00:00,5.780743515792329,8.93971205409023
273481,Sicario,False,122,"Action, Crime, Thriller",7.415,9272,R,Sicario,English,tt3397884,Q17337292,United States of America / Mexico / Hong Kong,2015,2015-09-17,9.7665,30000000,84997446,"Lionsgate, Black Label Media, Thunder Road",Denis Villeneuve,Jóhann Jóhannsson,"Emily Blunt, Benicio del Toro, Josh Brolin, Victor Garber, Jon Bernthal","mission, assassin, central intelligence agency (cia), mexico, corruption",2026-01-19 01:36:05.016 -0500,imdb_exact,songs,,2026-01-25 02:45:25.371 -0500,1569448,771042e4-5d18-4f47-a2bf-51bc51b37c2c,Sicario: Original Motion Picture Soundtrack,Album,Soundtrack,1662587.0,6cbc2185-2894-4d8b-b16f-56f8b68c8c95,Sicario: Original Motion Picture Soundtrack,Official,Jewel Case,30206736984.0,English,Latin,,2015-09-18,2015.0,9.0,18.0,False,False,False,False,classical | electronic | score | soundtrack,film score | soundtrack,Varèse Sarabande,44f4d815-bf54-4f56-b704-72a196c6bd58,soundtrack | classical | reissue | soundtrack label | us,80.0,1.0,2015-09-24 11:06:39.986 -0400,https://www.amazon.com/gp/product/B012DC94J0,B012DC94J0,present,Official,True,True,False,single_album_film,,3789,3788.0,False,True,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,Jóhann Jóhannsson,2015,True,False,False,False,False,False,False,False,True,False,False,False,False,False,ok,833.0,41868.0,https://www.last.fm/music/J%C3%B3hann+J%C3%B3hannsson/Sicario:+Original+Motion+Picture+Soundtrack,text,2026-01-28 21:47:43.599622+00:00,6.725033642166843,10.642277090974774
257344,Pixels,False,106,"Action, Comedy, Science Fiction, Fantasy",5.766,7892,PG-13,Pixels,English,tt2120120,Q17182905,China / France / India / United States of America,2015,2015-07-16,8.7991,88000000,244874809,"Columbia Pictures, Happy Madison Productions, 1492 Pictures, LStar Capital, China Film Group Corporation, Film Croppers Entertainment, Prime Focus",Chris Columbus,Henry Jackman,"Adam Sandler, Kevin James, Michelle Monaghan, Peter Dinklage, Josh Gad","new york city, london, england, usa president, washington dc, usa, video game",2026-01-19 01:36:05.016 -0500,imdb_exact,songs,,2026-01-25 02:45:25.371 -0500,1558910,cbb59154-37a0-4fa0-ad53-1f754040d03a,Pixels: The Movie (Original Motion Picture Soundtrack),Album,Soundtrack,1648746.0,b7d1bf2b-e69e-4197-9f29-79a69de1aee9,Pixels,Official,,30206735987.0,English,Latin,,2015-07-24,2015.0,7.0,24.0,False,False,False,False,film score | soundtrack,film score | soundtrack,Varèse Sarabande,44f4d815-bf54-4f56-b704-72a196c6bd58,soundtrack | classical | reissue | soundtrack label | us,,,2015-08-20 23:24:44.782 -0400,https://www.amazon.com/gp/product/B00YJKRIJ8,B00YJKRIJ8,present,Official,True,True,False,single_album_film,,3852,3844.0,,,,,,,,True,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,Henry Jackman,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,ok,725.0,7666.0,https://www.last.fm/music/Henry+Jackman/Pixels:+The+Movie+(Original+Motion+Picture+Soundtrack),text,2026-01-28 22:07:53.379165+00:00,6.586171654854675,8.9445502459405
214756,Ted 2,False,115,"Comedy, Fantasy",6.3,7840,R,Ted 2,English,tt2637276,Q17713411,United States of America,2015,2015-06-25,8.5762,68000000,215863606,"Smart Entertainment, Universal Pictures, Fuzzy Door Productions, Bluegrass Films, MRC",Seth MacFarlane,Walter Murphy,"Mark Wahlberg, Seth MacFarlane, Amanda Seyfried, Jessica Barth, Giovanni Ribisi","sperm bank, sequel, buddy, courthouse, teddy bear",2026-01-19 01:36:05.016 -0500,imdb_exact,songs,,2026-01-25 02:45:25.371 -0500,1723464,faa0a8e5-03fa-43de-a347-99e164799ba4,Ted 2: Original Motion Picture Soundtrack,Album,Soundtrack,1858939.0,4e71125f-c975-448f-b22c-2d3314f300e9,Ted 2: Original Motion Picture Soundtrack,Official,,,English,Latin,,2015-06-23,2015.0,6.0,23.0,False,False,False,False,,,Republic Records,e0ecd909-0477-485f-80dc-3c27ea4837ca,,,,2016-11-12 23:30:14.254 -0500,,,present,Official,True,True,False,single_album_film,,3873,3875.0,,,,,,,,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,Walter Murphy,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,ok,355.0,1498.0,https://www.last.fm/music/Walter+Murphy/Ted+2:+Original+Motion+Picture+Soundtrack,text,2026-01-28 22:18:06.396102+00:00,5.872117789475416,7.311886164077165
273248,The Hateful Eight,False,188,"Drama, Mystery, Western",7.756,14925,R,The Hateful Eight,English,tt3460252,Q18225084,United States of America,2015,2015-12-25,8.221,44000000,155760117,"The Weinstein Company, Double Feature Films, FilmColony",Quentin Tarantino,Ennio Morricone,"Samuel L. Jackson, Kurt Russell, Jennifer Jason Leigh, Walton Goggins, Demián Bichir","bounty hunter, wyoming, usa, narration, mountain, hangman",2026-01-19 01:36:05.016 -0500,imdb_exact,unknown,,2026-01-25 02:45:25.371 -0500,1601991,57bf99c5-b4ff-439f-82fd-f4ebbffb1846,The Hateful Eight,Album,Soundtrack,1704655.0,de9f6e98-acae-45f5-9647-cf8f1ef144a5,The Hateful Eight,Official,Jewel Case,602547706003.0,English,Latin,,2015-01-01,2015.0,,,True,True,True,True,alternative rock | country rock | folk | modern classical,,Decca Records,f18f3b31-8263-4de3-966a-fda317492d3d,classical | discogs dump | jazz | royal philharmonic orchestra | schumann | decca 193.486-x,80.0,1.0,2015-12-22 00:39:02.913 -0500,http://www.amazon.com/gp/product/B018II473G,B018II473G,present,Official,True,True,False,single_album_film,,3690,4048.0,False,True,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,True,Ennio Morricone,2015,True,True,False,False,True,True,False,False,True,True,False,False,False,False,ok,871.0,28553.0,https://www.last.fm/music/Ennio+Morricone/The+Hateful+Eight,text,2026-01-28 21:41:43.970194+00:00,6.769641976852503,10.259517288372871
264660,Ex Machina,False,108,"Drama, Science Fiction",7.572,13942,R,Ex Machina,English,tt0470752,Q16635326,United Kingdom / United States of America,2015,2015-01-21,8.0406,15000000,36869414,"DNA Films, Film4 Productions, IAC Films, Scott Rudin Productions",Alex Garland,"Ben Salisbury, Geoff Barrow","Domhnall Gleeson, Alicia Vikander, Oscar Isaac, Sonoya Mizuno, Corey Johnson","android, dancing, friendship, man vs machine, distrust",2026-01-19 01:36:05.016 -0500,imdb_exact,songs,,2026-01-25 02:45:25.371 -0500,1516601,e0266ee3-7aed-47a2-8433-b6d506870935,Ex_Machina: Original Motion Picture Soundtrack,Album,Soundtrack,1595326.0,f1120627-1c31-4260-8feb-b601b998fab9,Ex_Machina: Original Motion Picture Soundtrack,Official,,,English,Latin,,2015-01-20,2015.0,1.0,20.0,False,False,False,False,electronic,,Back Lot Music,227b901e-7ba3-4a1d-a3cb-3cb67a22e660,soundtrack,,,2015-04-17 12:10:59.275 -0400,https://www.amazon.com/gp/product/B00UG6PRDI,B00UG6PRDI,present,Official,True,True,False,single_album_film,,4028,4029.0,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,Ben Salisbury,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,ok,36.0,400.0,https://www.last.fm/music/Ben+Salisbury/Ex_Machina:+Original+Motion+Picture+Soundtrack,text,2026-01-28 22:12:05.491187+00:00,3.58351893845611,5.991464547107982
102899,Ant-Man,False,117,"Science Fiction, Action, Adventure",7.067,20542,PG-13,Ant-Man,English,tt0478970,Q5901134,United States of America,2015,2015-07-14,7.942,130000000,519311965,Marvel Studios,Peyton Reed,Christophe Beck,"Paul Rudd, Michael Douglas, Evangeline Lilly, Corey Stoll, Bobby Cannavale","superhero, ant, master thief, shrinking, based on comic",2026-01-19 01:36:05.016 -0500,imdb_exact,songs,,2026-01-25 02:45:25.371 -0500,1552111,87789c04-aeec-48f8-b416-b96b031b2ab9,Ant‐Man: Original Motion Picture Soundtrack,Album,Soundtrack,1640166.0,301b59c2-cdce-4798-a715-5a94c106c76e,Ant‐Man: Original Motion Picture Soundtrack,Official,,50087326951.0,English,Latin,,2015-07-17,2015.0,7.0,17.0,False,False,False,False,classical | film score | soundtrack,film score | soundtrack,Hollywood Records,6bb7c1b2-cb06-4381-9c59-02b1ae4aa96d,electro pop | pop | rock | soundtrack | teen pop | alternative | country | dance | hip hop | hip-hop,,,2015-07-30 14:22:23.132 -0400,https://www.amazon.com/gp/product/B0116CJCKE,B0116CJCKE,present,Official,True,True,False,single_album_film,,3854,3851.0,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,Christophe Beck,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,ok,21.0,306.0,https://www.last.fm/music/Christophe+Beck/Ant%E2%80%90Man:+Original+Motion+Picture+Soundtrack,text,2026-01-28 21:51:37.621326+00:00,3.044522437723423,5.723585101952381
270303,It Follows,False,101,"Horror, Mystery",6.6,6762,R,It Follows,English,tt3235888,Q16547881,United States of America,2015,2015-02-04,7.4075,2300000,23374076,"Two Flints, Northern Lights Films, Animal Kingdom",David Robert Mitchell,Rich Vreeland,"Maika Monroe, Keir Gilchrist, Daniel Zovatto, Jake Weary, Olivia Luccardi","beach, chase, supernatural, friends, vision",2026-01-19 01:36:05.016 -0500,imdb_exact,songs,,2026-01-25 02:45:25.371 -0500,1490384,528bd202-fa2d-4abc-ba3b-d5dc3ce156f5,It Follows: Original Motion Picture Soundtrack,Album,Soundtrack,1561735.0,ec7cbf9a-2e92-4777-ac56-8fa508e49322,It Follows,Official,,731383672026.0,English,Latin,,2015-03-23,2015.0,3.0,23.0,False,False,False,False,ambient | dark ambient | electronic,,Milan,41099e29-7301-4fa3-86a4-8d510157b275,burbank | california | clean up | score | soundtrack label | split me | us | soundtrack,,,2015-02-06 10:30:54.016 -0500,https://www.amazon.fr/gp/product/B00SQ53TDQ,B00SQ53TDQ,present,Official,True,True,False,single_album_film,,4014,3967.0,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,Rich Vreeland,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,ok,21.0,215.0,https://www.last.fm/music/Disasterpeace/It+Follows:+Original+Motion+Picture+Soundtrack,text,2026-01-28 21:40:53.175926+00:00,3.044522437723423,5.3706380281276624
131634,The Hunger Games: Mockingjay - Part 2,False,137,"Action, Adventure, Science Fiction",6.9,13108,PG-13,The Hunger Games: Mockingjay - Part 2,English,tt1951266,Q10307713,Germany / United States of America,2015,2015-11-18,7.1716,160000000,653428261,"Lionsgate, Color Force, Studio Babelsberg",Francis Lawrence,James Newton Howard,"Jennifer Lawrence, Josh Hutcherson, Liam Hemsworth, Woody Harrelson, Elizabeth Banks","strong woman, based on novel or book, revolution, dystopia, death match",2026-01-19 01:36:05.016 -0500,imdb_exact,songs,,2026-01-25 02:45:25.371 -0500,1593054,1221fcbd-15d9-442a-a9a6-53c29021dc87,"The Hunger Games: Mockingjay, Part 2: Original Motion Picture Soundtrack",Album,Soundtrack,1693318.0,1573c814-2f62-4424-824d-91848b78c260,"The Hunger Games: Mockingjay, Part 2",Official,,,English,Latin,,2015-01-01,2015.0,,,True,True,True,True,,,,,,,,2015-11-26 10:04:02.323 -0500,,,present,Official,True,True,False,single_album_film,,3727,4048.0,,,,,,,,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,James Newton Howard,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,ok,21.0,321.0,"https://www.last.fm/music/James+Newton+Howard/The+Hunger+Games:+Mockingjay,+Part+2:+Original+Motion+Picture+Soundtrack",text,2026-01-28 20:26:07.442405+00:00,3.044522437723423,5.771441123130016
254128,San Andreas,False,114,"Action, Drama, Thriller",6.2,8865,PG-13,San Andreas,English,tt2126355,Q15973073,Canada / United States of America / Australia,2015,2015-05-27,7.0047,110000000,473990832,"New Line Cinema, Village Roadshow Pictures, Flynn Picture Company, Warner Bros. Pictures",Brad Peyton,Andrew Lockington,"Dwayne Johnson, Alexandra Daddario, Carla Gugino, Ioan Gruffudd, Archie Panjabi","california, san francisco, california, looting, earthquake, tsunami",2026-01-19 01:36:05.016 -0500,imdb_exact,unknown,,2026-01-25 02:45:25.371 -0500,1540493,0acd5cb3-e9a4-48d6-9e00-cd5e120f2951,San Andreas,Album,Soundtrack,1625299.0,4a9a9da7-eb8f-4cc8-ba70-c78afbe6ce9c,San Andreas,Official,,,English,Latin,,2015-05-12,2015.0,5.0,12.0,False,False,False,False,film score | soundtrack,film score | soundtrack,WaterTower Music,a6cbb3d7-6fea-4257-aa79-e1e6bf810da3,clean up | film score | soundtrack | soundtrack label | soundtracks,,,2015-06-26 21:51:19.086 -0400,https://www.amazon.com/gp/product/B00XKDADH4,B00XKDADH4,present,Official,True,True,False,single_album_film,,3902,3917.0,,,,,,,,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,Andrew Lockington,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,ok,333.0,7297.0,https://www.last.fm/music/Andrew+Lockington/San+Andreas,text,2026-01-28 20:24:52.137801+00:00,5.808142489980444,8.89521858376562
312221,Creed,False,133,"Drama, Action",7.404,7791,PG-13,Creed,English,tt3076658,Q18822138,United States of America,2015,2015-11-25,6.9512,37000000,173600000,"Metro-Goldwyn-Mayer, New Line Cinema, Chartoff-Winkler Productions",Ryan Coogler,Ludwig Göransson,"Michael B. Jordan, Sylvester Stallone, Tessa Thompson, Phylicia Rashād, Andre Ward","underdog, mexico, philadelphia, pennsylvania, sports, mentor",2026-01-19 01:36:05.016 -0500,imdb_exact,score,,2026-01-25 02:45:25.371 -0500,1605285,01f9eac9-2add-4668-94fc-5580623980b2,Creed: Original Motion Picture Score,Album,Soundtrack,1708809.0,0c5eeaa9-01a3-41a7-9983-b28704424209,Creed: Original Motion Picture Score,Official,,,English,Latin,,2015-01-01,2015.0,,,True,True,True,True,classical,,WaterTower Music,a6cbb3d7-6fea-4257-aa79-e1e6bf810da3,clean up | film score | soundtrack | soundtrack label | soundtracks,,,2016-01-01 08:50:54.511 -0500,https://www.amazon.com/gp/product/B017KQRX1A,B017KQRX1A,present,Official,True,True,False,multi_album_score_title,,3720,4048.0,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,Ludwig Göransson,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,ok,35.0,1221.0,https://www.last.fm/music/Ludwig+G%C3%B6ransson/Creed:+Original+Motion+Picture+Score,text,2026-01-28 20:22:00.203759+00:00,3.5553480614894135,7.107425474110705
294254,Maze Runner: The Scorch Trials,False,131,"Science Fiction, Action, Thriller, Adventure",6.734,10825,PG-13,Maze Runner: The Scorch Trials,English,tt4046784,Q18359358,United States of America,2015,2015-09-09,6.8848,61000000,312296056,"Temple Hill Entertainment, The Gotham Group, TSG Entertainment, 20th Century Fox",Wes Ball,John Paesano,"Dylan O'Brien, Kaya Scodelario, Thomas Brodie-Sangster, Giancarlo Esposito, Ki Hong Lee","based on novel or book, escape, resistance, dystopia, maze",2026-01-19 01:36:05.016 -0500,imdb_exact,unknown,,2026-01-25 02:45:25.371 -0500,1571567,cc03e052-6934-46d2-bd87-abe634ad69d5,Maze Runner: The Scorch Trials,Album,Soundtrack,4975267.0,78415363-b1cc-4a30-b474-e14f456db5a5,Maze Runner: The Scorch Trials (Original Motion Picture Soundtrack),Official,,886445386219.0,English,Latin,,,,,,,,,,,,Sony Classical,10920823-9ed8-45d9-adb3-69fc22475ab0,classical | sicc | soundtrack | star wars,,,2025-05-06 07:16:38.750 -0400,,,present,Official,True,True,False,single_album_film,,3797,,,,,,,,,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,John Paesano,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,ok,80.0,2102.0,https://www.last.fm/music/John+Paesano/Maze+Runner:+The+Scorch+Trials,text,2026-01-28 22:07:56.455010+00:00,4.382026634673881,7.650644551436897
276907,Legend,False,132,"Crime, Thriller",7.058,4153,R,Legend,English,tt3569230,Q17182571,France / United Kingdom / United States of America,2015,2015-09-09,6.347,25000000,42972994,"Working Title Films, Anton Capital Entertainment, StudioCanal, Cross Creek Pictures",Brian Helgeland,Carter Burwell,"Tom Hardy, Emily Browning, Christopher Eccleston, David Thewlis, Taron Egerton","gangster, biography, based on true story, twins, aggressive",2026-01-19 01:36:05.016 -0500,imdb_exact,songs,,2026-01-25 02:45:25.371 -0500,1608694,14b3ad15-7e7b-4d58-b333-fb08463d368d,Legend: Original Motion Picture Soundtrack,Album,Compilation | Soundtrack,1713228.0,bcea6010-78bd-48a1-9c9d-668ecf2e879d,Legend: Original Motion Picture Soundtrack,Official,,600753628133.0,English,Latin,,,,,,,,,,blues | jazz | pop | rock,soundtrack,Universal UMC,62abedcd-f510-4d6b-b2a1-6bb8bffbbe14,,,,2016-01-11 12:59:13.434 -0500,,,present,Official,True,True,False,single_album_film,,3797,,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,Carter Burwell,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,ok,8.0,112.0,https://www.last.fm/music/Various+Artists/Legend:+Original+Motion+Picture+Soundtrack,text,2026-01-28 20:27:04.689398+00:00,2.0794415416798357,4.718498871295094
198184,Chappie,False,120,"Crime, Action, Science Fiction",6.786,8290,R,Chappie,English,tt1823672,Q15209986,United States of America / South Africa / Mexico,2015,2015-03-04,6.0161,49000000,104399548,"Columbia Pictures, MRC, LStar Capital, Genre Films, Sony Pictures Releasing",Neill Blomkamp,Hans Zimmer,"Sharlto Copley, Dev Patel, Hugh Jackman, Ninja, Yo-Landi Visser","future, android, artificial intelligence (a.i.), dystopia, johannesburg, south africa",2026-01-19 01:36:05.016 -0500,imdb_exact,unknown,,2026-01-25 02:45:25.371 -0500,1507047,2f4348cd-c7fe-436a-9fa3-1dee76743afb,Chappie,Album,Soundtrack,1582886.0,185447aa-d94f-4425-80b5-fb07f96a2530,Chappie: Original Motion Picture Soundtrack,Official,Jewel Case,30206422528.0,English,Latin,,2015-03-10,2015.0,3.0,10.0,False,False,False,False,score | soundtrack | ambient | electronic,score | soundtrack,Varèse Sarabande,44f4d815-bf54-4f56-b704-72a196c6bd58,soundtrack | classical | reissue | soundtrack label | us,,,2015-03-23 00:39:25.333 -0400,https://www.amazon.com/gp/product/B00VBES74K,B00VBES74K,present,Official,True,True,False,single_album_film,,3986,3980.0,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,Hans Zimmer,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,ok,2405.0,59156.0,https://www.last.fm/music/Hans+Zimmer/Chappie,text,2026-01-28 21:33:47.405959+00:00,7.785305182539862,10.98793330128666
